latitute,longitude,spi
69.75,26.75,-1.41919532
69.75,27,-1.843042852
69.75,27.25,-1.762014869
70,26.75,-1.924824298
70,27,-0.634288535
70,27.25,-1.778789842
70,27.5,1.243970615
70.25,26.25,-1.275663842
70.25,26.5,1.612865888
70.25,26.75,-1.938841237
70.25,27,-1.503409768
70.25,27.25,-1.182431463
70.25,27.5,-0.715358937
70.25,27.75,-1.335255073
70.5,26.25,1.746762263
70.5,26.5,-1.634492166
70.5,26.75,-0.735543686
70.5,27,-0.63629122
70.5,27.25,-1.292176999
70.5,27.5,1.862673528
70.5,27.75,-1.195434267
70.5,28,1.720691896
70.75,26.25,-0.876953331
70.75,26.5,-0.981501947
70.75,26.75,1.014988232
70.75,27,1.799067209
70.75,27.25,-0.435911976
70.75,27.5,1.886331108
71,26.5,-1.176757322
71,26.75,-0.187566807
71,27,0.230129993
71,27.25,-0.706165831
71,27.5,1.038478791
71.25,26.5,0.258441084
71.25,26.75,-1.316226556
71.25,27,1.511311482
71.25,27.25,1.629455398
71.25,27.5,1.965319747
71.25,27.75,1.339294013
71.5,26.5,-1.981200567
71.5,26.75,-1.171621665
71.5,27,1.816054978
71.5,27.25,0.968502548
71.5,27.5,1.730650863
71.5,27.75,0.436333251
71.75,26.5,0.269829236
71.75,26.75,-0.076431503
71.75,27,0.717044485
71.75,27.25,1.667283486
71.75,27.5,1.110066876
71.75,27.75,1.716545843
72,26.5,-0.87218687
72,26.75,0.065643214
72,27,0.62180386
